jee_main_score,school_board,class_12_percent,attempt_count,coaching_institute,daily_study_hours,family_income,parent_education,location_type,peer_pressure_level,mental_health_issues,admission_taken,dropout,Income vs Admission,PSxIA,peer_focused_mh,parental_support
78.95,1,70.09,1,0,5.4,0,0,2,0,0,0,1,0,0.0,0,1.62
70.06,0,78.0,1,0,5.5,1,0,2,0,1,0,0,1,1.65,1,1.65
81.07,2,64.36,1,0,7.0,0,3,1,1,1,0,1,0,0.0,3,2.7
93.32,2,73.21,1,0,2.1,0,1,1,1,1,1,0,3,2.49,3,0.8300000000000001
68.72,1,89.02,1,0,6.3,1,2,1,2,0,1,0,4,9.16,4,2.29
68.72,0,79.28,1,1,4.5,1,2,1,0,0,1,0,4,7.2,0,1.8
94.11,1,76.31,1,1,3.7,1,0,1,1,0,1,0,4,4.640000000000001,2,1.16
82.74,1,77.15,1,2,2.2,2,1,2,0,0,1,0,5,4.800000000000001,0,0.96
65.43,2,71.11,1,1,5.7,1,0,1,0,0,1,0,4,7.04,0,1.76
79.6,0,94.96,2,2,2.7,1,1,0,2,1,0,0,1,1.11,5,1.11
65.51,1,66.88,1,2,5.5,1,2,2,0,0,1,0,4,8.6,0,2.15
65.48,2,77.11,1,0,8.4,2,0,1,1,1,1,0,5,12.6,3,2.52
75.39,1,76.15,2,0,6.5,1,1,0,1,0,1,0,4,8.6,2,2.15
45.21,2,85.09,2,0,7.3,0,2,2,1,1,0,1,0,0.0,3,2.59
47.85,0,86.03,2,1,3.1,0,1,0,1,1,0,1,0,0.0,3,1.18
64.13,1,74.68,2,2,6.0,2,2,1,0,0,0,0,2,4.6,0,2.3
57.82,0,77.91,1,0,2.2,2,3,0,1,0,1,0,5,6.300000000000001,2,1.2600000000000002
76.4,0,78.29,1,2,4.0,2,3,0,2,1,1,0,5,9.5,5,1.9
59.29,2,52.28,1,0,8.0,2,1,2,0,0,0,0,2,5.2,0,2.6
52.23,1,59.11,2,2,3.3,2,0,0,1,1,0,0,2,2.18,3,1.09
92.52,1,68.95,1,1,6.7,1,1,0,1,1,0,0,1,2.26,3,2.26
68.84,2,69.38,1,1,6.5,0,3,2,2,1,0,1,0,0.0,5,2.6
72.95,2,63.01,2,2,6.6,0,0,1,0,0,0,1,0,0.0,0,2.08
52.05,0,82.5,2,0,2.0,1,3,0,2,1,1,0,4,4.800000000000001,5,1.2000000000000002
64.38,1,75.02,2,0,5.6,2,3,1,2,1,1,0,5,11.400000000000002,5,2.28
73.55,1,72.85,2,0,4.2,1,0,2,1,0,1,0,4,5.04,2,1.26
55.89,2,62.44,2,0,6.7,2,0,1,1,1,1,0,5,10.05,3,2.01
77.26,2,74.55,1,2,1.2,0,3,0,2,1,0,1,0,0.0,5,1.06
63.59,2,50.0,2,0,5.2,0,2,0,0,1,1,0,3,5.88,1,1.96
67.92,1,73.37,2,0,5.0,2,0,1,0,0,0,0,2,3.0,0,1.5
63.58,1,75.63,1,1,0.5,1,3,1,0,0,0,0,1,0.8000000000000002,0,0.8000000000000002
97.93,0,77.42,1,2,2.7,2,0,0,2,0,0,0,2,1.82,4,0.91
71.81,2,59.36,1,2,0.8,2,0,2,0,1,1,0,5,1.6999999999999995,1,0.3399999999999999
57.19,0,77.25,2,2,3.0,0,3,0,1,0,1,0,3,4.800000000000001,2,1.6
83.52,1,64.59,2,1,5.6,2,2,0,2,0,0,0,2,4.26,4,2.13
54.91,0,66.88,1,1,4.9,1,1,1,2,0,1,0,4,6.88,4,1.72
74.92,0,82.18,1,0,4.8,2,3,0,2,0,1,0,5,10.2,4,2.04
44.56,0,95.14,2,1,2.4,0,2,1,0,1,0,1,0,0.0,1,1.1700000000000002
53.41,2,75.51,1,2,6.7,1,3,2,0,0,1,0,4,10.84,0,2.71
74.76,1,66.83,1,2,4.5,1,2,0,1,1,1,0,4,7.4,3,1.85
82.34,2,76.89,1,0,4.6,0,1,2,0,1,1,0,3,4.739999999999999,1,1.5799999999999998
74.4,0,84.39,1,1,6.4,0,1,2,0,0,0,1,0,0.0,0,2.17
70.38,2,81.21,2,2,2.5,2,0,0,0,0,1,0,5,4.25,0,0.85
67.78,1,100.0,2,2,5.0,0,0,1,0,0,1,0,3,4.800000000000001,0,1.6
51.3,1,67.85,2,0,5.3,0,1,1,1,1,1,0,3,5.369999999999999,3,1.7899999999999998
61.92,0,77.52,1,1,3.4,0,3,0,1,1,1,0,3,5.010000000000001,3,1.6700000000000002
65.55,0,90.49,2,2,5.8,0,1,1,1,1,0,1,0,0.0,3,2.04
86.8,2,89.86,2,0,5.5,1,2,1,0,0,0,0,1,2.05,0,2.05
76.81,1,55.5,1,0,4.3,1,2,2,0,0,1,0,4,6.76,0,1.69
47.32,1,74.97,1,0,4.2,1,2,1,2,1,0,0,1,1.66,5,1.66
76.54,2,89.85,2,0,5.5,0,1,1,2,1,1,0,3,5.55,5,1.85
66.61,1,100.0,1,1,6.1,2,0,0,0,0,0,0,2,3.76,0,1.88
62.52,0,82.04,1,2,4.6,2,2,2,2,0,1,0,5,9.4,4,1.88
80.56,0,71.32,2,1,6.7,2,2,1,1,1,0,0,2,4.919999999999999,3,2.4599999999999995
86.43,2,64.91,2,0,5.8,2,1,0,1,1,1,0,5,9.7,3,1.94
85.04,2,97.19,2,2,0.9,1,2,1,1,1,1,0,4,3.08,3,0.77
60.25,2,82.29,1,2,1.7,2,1,2,2,0,1,1,5,4.05,4,0.8099999999999999
67.67,0,66.52,1,2,6.9,1,0,2,1,0,0,0,1,2.17,2,2.17
76.64,2,72.97,1,1,4.0,2,2,2,1,1,0,0,2,3.3000000000000003,3,1.65
85.66,1,78.1,1,1,4.8,2,2,2,1,0,1,0,5,9.45,2,1.89
65.29,2,80.44,1,0,6.8,1,2,2,0,1,1,0,4,9.76,1,2.44
69.4,1,66.0,1,0,4.5,1,1,2,0,1,1,0,4,6.199999999999999,1,1.5499999999999998
56.51,0,68.86,2,0,4.6,2,1,0,1,1,0,0,2,3.16,3,1.5799999999999998
55.25,1,58.47,2,2,2.8,0,3,2,1,1,1,0,3,4.62,3,1.54
83.38,1,85.4,1,0,5.2,2,0,1,0,1,0,0,2,3.12,1,1.56
90.99,1,71.58,2,0,5.7,2,3,1,0,1,0,0,2,4.62,1,2.31
70.99,0,79.66,2,0,3.3,2,3,1,2,1,1,0,5,7.949999999999999,5,1.59
86.05,1,89.22,2,0,2.7,1,3,1,0,0,1,0,4,5.640000000000001,0,1.41
77.06,1,77.2,1,0,9.8,2,1,2,1,1,1,0,5,15.7,3,3.14
62.97,2,73.87,2,2,4.3,0,2,2,0,0,0,1,0,0.0,0,1.79
77.06,2,76.94,2,0,3.1,2,2,0,1,1,1,0,5,6.65,3,1.33
93.53,2,75.63,1,1,5.9,0,1,2,2,1,1,0,3,6.0600000000000005,5,2.02
71.5,1,87.46,1,0,4.4,0,3,1,0,1,0,1,0,0.0,1,1.92
93.91,1,78.11,1,0,2.3,0,0,0,2,1,0,1,0,0.0,5,0.69
35.32,0,69.56,2,1,5.5,2,1,0,1,1,1,0,5,9.5,3,1.9
83.51,1,85.48,2,1,2.8,1,3,0,1,1,1,0,4,5.96,3,1.49
73.22,1,87.3,2,2,7.7,1,1,0,1,0,0,0,1,2.6100000000000003,2,2.6100000000000003
67.81,0,61.62,1,0,5.5,2,2,2,1,1,0,0,2,4.1,3,2.05
73.28,1,90.33,1,1,3.9,2,2,0,2,1,1,0,5,8.1,5,1.62
44.17,0,78.65,1,2,4.7,0,2,2,0,0,0,1,0,0.0,0,1.91
68.92,0,77.83,2,0,6.3,2,3,0,0,0,0,0,2,4.98,0,2.49
77.0,2,85.07,2,0,4.9,1,1,2,1,0,1,0,4,6.68,2,1.67
92.69,1,69.33,2,1,8.7,2,3,2,1,1,1,0,5,16.299999999999997,3,3.26
64.74,2,84.54,1,0,6.8,2,1,1,2,1,0,0,2,4.48,5,2.24
