jee_main_score,jee_advanced_score,mock_test_score_avg,school_board,class_12_percent,attempt_count,coaching_institute,daily_study_hours,family_income,parent_education,location_type,peer_pressure_level,mental_health_issues,admission_taken,dropout
78.95,59.22,59.86,1,70.09,1,0,5.4,0,0,2,0,0,0,1
70.06,58.75,64.33,0,78.0,1,0,5.5,1,0,2,0,1,0,0
81.07,37.27,60.83,2,64.36,1,0,7.0,0,3,1,1,1,0,1
93.32,60.72,69.33,2,73.21,1,0,2.1,0,1,1,1,1,1,0
68.72,77.73,82.37,1,89.02,1,0,6.3,1,2,1,2,0,1,0
68.72,45.61,58.75,0,79.28,1,1,4.5,1,2,1,0,0,1,0
94.11,82.78,80.01,1,76.31,1,1,3.7,1,0,1,1,0,1,0
82.74,73.8,58.62,1,77.15,1,2,2.2,2,1,2,0,0,1,0
65.43,54.25,57.83,2,71.11,1,1,5.7,1,0,1,0,0,1,0
79.6,63.74,77.82,0,94.96,2,2,2.7,1,1,0,2,1,0,0
65.51,91.57,79.06,1,66.88,1,2,5.5,1,2,2,0,0,1,0
65.48,77.74,78.22,2,77.11,1,0,8.4,2,0,1,1,1,1,0
75.39,66.14,52.21,1,76.15,2,0,6.5,1,1,0,1,0,1,0
45.21,62.2,62.41,2,85.09,2,0,7.3,0,2,2,1,1,0,1
47.85,67.23,77.88,0,86.03,2,1,3.1,0,1,0,1,1,0,1
64.13,57.81,68.5,1,74.68,2,2,6.0,2,2,1,0,0,0,0
57.82,32.32,55.12,0,77.91,1,0,2.2,2,3,0,1,0,1,0
76.4,98.67,73.5,0,78.29,1,2,4.0,2,3,0,2,1,1,0
59.29,68.49,59.42,2,52.28,1,0,8.0,2,1,2,0,0,0,0
52.23,72.37,89.53,1,59.11,2,2,3.3,2,0,0,1,1,0,0
92.52,65.07,86.54,1,68.95,1,1,6.7,1,1,0,1,1,0,0
68.84,54.24,75.25,2,69.38,1,1,6.5,0,3,2,2,1,0,1
72.95,63.03,84.33,2,63.01,2,2,6.6,0,0,1,0,0,0,1
52.05,40.41,68.78,0,82.5,2,0,2.0,1,3,0,2,1,1,0
64.38,100.0,77.19,1,75.02,2,0,5.6,2,3,1,2,1,1,0
73.55,46.25,85.73,1,72.85,2,0,4.2,1,0,2,1,0,1,0
55.89,49.49,70.95,2,62.44,2,0,6.7,2,0,1,1,1,1,0
